year,sex,age,ethnicity,population
1970,both,overall,overall,10881.8
1970,female,overall,overall,5364.7
1970,male,overall,overall,5517
1971,both,overall,overall,11159.7
1971,female,overall,overall,5506.3
1971,male,overall,overall,5653.4
1972,both,overall,overall,11441.3
1972,female,overall,overall,5649.8
1972,male,overall,overall,5791.5
1973,both,overall,overall,11719.8
1973,female,overall,overall,5791.9
1973,male,overall,overall,5927.9
1974,both,overall,overall,12001.3
1974,female,overall,overall,5935
1974,male,overall,overall,6066.3
1975,both,overall,overall,12300.3
1975,female,overall,overall,6087.2
1975,male,overall,overall,6213.1
1976,both,overall,overall,12588.1
1976,female,overall,overall,6233.7
1976,male,overall,overall,6354.5
1977,both,overall,overall,12901.1
1977,female,overall,overall,6392.7
1977,male,overall,overall,6508.4
1978,both,overall,overall,13200.2
1978,female,overall,overall,6544.4
1978,male,overall,overall,6655.8
1979,both,overall,overall,13518.3
1979,female,overall,overall,6705.7
1979,male,overall,overall,6812.5
1980,both,overall,overall,13879.3
1980,female,overall,overall,6887.2
1980,male,overall,overall,6992
1981,both,overall,overall,14256.9
1981,female,overall,overall,7068.3
1981,male,overall,overall,7188.6
1982,both,overall,overall,14651.1
1982,female,overall,overall,7257
1982,male,overall,overall,7394
1983,both,overall,overall,15048.2
1983,female,overall,overall,7447.6
1983,male,overall,overall,7600.6
1984,both,overall,overall,15450.4
1984,female,overall,overall,7640.1
1984,male,overall,overall,7810.2
1985,both,overall,overall,15882.7
1985,female,overall,overall,7849.6
1985,male,overall,overall,8033.2
1986,both,overall,overall,16329.4
1986,female,overall,overall,8065.4
1986,male,overall,overall,8264
1987,both,overall,overall,16773.5
1987,female,overall,overall,8278.7
1987,male,overall,overall,8494.7
1988,both,overall,overall,17219.1
1988,female,overall,overall,8493.1
1988,male,overall,overall,8726
1989,both,overall,overall,17662.1
1989,female,overall,overall,8705.6
1989,male,overall,overall,8956.4
1990,both,overall,overall,18102.4
1990,female,overall,overall,8917.1
1990,male,overall,overall,9185.3
1991,both,overall,overall,18547.2
1991,female,overall,overall,9130.7
1991,male,overall,overall,9416.5
1992,both,overall,overall,19067.5
1992,female,overall,overall,9380.6
1992,male,overall,overall,9686.9
1993,both,overall,overall,19601.5
1993,female,overall,overall,9638.1
1993,male,overall,overall,9963.4
1994,both,overall,overall,20141.7
1994,female,overall,overall,9898.8
1994,male,overall,overall,10242.9
1995,both,overall,overall,20681.8
1995,female,overall,overall,10160.3
1995,male,overall,overall,10521.5
1996,both,overall,overall,21222.6
1996,female,overall,overall,10422.3
1996,male,overall,overall,10800.3
1997,both,overall,overall,21769.3
1997,female,overall,overall,10687.3
1997,male,overall,overall,11081.9
1998,both,overall,overall,22333.5
1998,female,overall,overall,10961.4
1998,male,overall,overall,11372.1
1999,both,overall,overall,22909.5
1999,female,overall,overall,11242.9
1999,male,overall,overall,11666.6
2000,both,overall,overall,23494.9
2000,female,overall,overall,11529.3
2000,male,overall,overall,11965.6
2001,both,overall,overall,24030.5
2001,female,overall,overall,11773.1
2001,male,overall,overall,12257.3
2002,both,overall,overall,24542.5
2002,female,overall,overall,12005.5
2002,male,overall,overall,12537.1
2003,both,overall,overall,25038.1
2003,female,overall,overall,12229.8
2003,male,overall,overall,12808.2
2004,both,overall,overall,25541.5
2004,female,overall,overall,12462.7
2004,male,overall,overall,13078.7
2005,both,overall,overall,26045.5
2005,female,overall,overall,12692.3
2005,male,overall,overall,13353.3
2006,both,overall,overall,26549.9
2006,female,overall,overall,12922.4
2006,male,overall,overall,13627.4
2007,both,overall,overall,27058.4
2007,female,overall,overall,13154.7
2007,male,overall,overall,13903.7
2008,both,overall,overall,27567.6
2008,female,overall,overall,13388.5
2008,male,overall,overall,14179.1
2009,both,overall,overall,28081.5
2009,female,overall,overall,13624.6
2009,male,overall,overall,14456.9
2010,both,overall,overall,28588.6
2010,female,overall,overall,13858.1
2010,male,overall,overall,14730.5
2011,both,overall,overall,29062
2011,female,overall,overall,14082
2011,male,overall,overall,14980
2012,both,overall,overall,29510
2012,female,overall,overall,14294.7
2012,male,overall,overall,15215.3
2013,both,overall,overall,30213.7
2013,female,overall,overall,14608.9
2013,male,overall,overall,15604.8
2014,both,overall,overall,30708.5
2014,female,overall,overall,14840.7
2014,male,overall,overall,15867.8
2015,both,overall,overall,31186.1
2015,female,overall,overall,15074
2015,male,overall,overall,16112.1
2016,both,overall,overall,31633.5
2016,female,overall,overall,15287.2
2016,male,overall,overall,16346.3
2017,both,overall,overall,32022.6
2017,female,overall,overall,15479.8
2017,male,overall,overall,16542.7
2018,both,overall,overall,32382.3
2018,female,overall,overall,15660.8
2018,male,overall,overall,16721.4
2019,both,overall,overall,32523
2019,female,overall,overall,15758.2
2019,male,overall,overall,16764.9
2020,both,overall,overall,32447.4
2020,female,overall,overall,15481.2
2020,male,overall,overall,16966.2
2021,both,overall,overall,32576.3
2021,female,overall,overall,15575.8
2021,male,overall,overall,17000.5
2022,both,overall,overall,32698.1
2022,female,overall,overall,15658.3
2022,male,overall,overall,17039.8
2023,both,overall,overall,33401.8
2023,female,overall,overall,15929.5
2023,male,overall,overall,17472.3
2024,both,overall,overall,34058.8
2024,female,overall,overall,16176.1
2024,male,overall,overall,17882.7
